
------------ Options -------------
batch_size: 1
beta1: 0.9
beta2: 0.999
channels: 1
checkpoints_path: ../missed
cuda: True
dataset_path: /home/nitish/Desktop/ninad/data/
debug: True
ensemble: 1
epochs: 30
gpu_ids: 0
log_interval: 50
lr: 0.001
network: 1
no_cuda: False
patch_stride: 256
seed: 1
test_batch_size: 32
testset_path: 
tid: missed
-------------- End ----------------

Start training patch-wise network: 2019/06/21 15:14

/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/models.py:26: UserWarning: 
This call to matplotlib.use() has no effect because the backend has already
been chosen; matplotlib.use() must be called *before* pylab, matplotlib.pyplot,
or matplotlib.backends is imported for the first time.

The backend was *originally* set to 'TkAgg' by the following code:
  File "train.py", line 2, in <module>
    from src import *
  File "/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/__init__.py", line 1, in <module>
    from .models import *
  File "/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/models.py", line 8, in <module>
    import matplotlib.pyplot as plt
  File "/home/nitish/anaconda3/envs/pytorch_gpu/lib/python3.6/site-packages/matplotlib/pyplot.py", line 71, in <module>
    from matplotlib.backends import pylab_setup
  File "/home/nitish/anaconda3/envs/pytorch_gpu/lib/python3.6/site-packages/matplotlib/backends/__init__.py", line 17, in <module>
    line for line in traceback.format_stack()


  mpl.use('Agg')
Epoch: 1/30 [2850/267680 (1%)]	Loss: 0.223439, Accuracy: 47.00%
Epoch: 1/30 [2900/267680 (1%)]	Loss: 0.139325, Accuracy: 47.00%
Epoch: 1/30 [2950/267680 (1%)]	Loss: 1.976257, Accuracy: 47.00%
Epoch: 1/30 [3000/267680 (1%)]	Loss: 0.438440, Accuracy: 47.00%
Epoch: 1/30 [3050/267680 (1%)]	Loss: 1.719396, Accuracy: 47.00%
Epoch: 1/30 [3100/267680 (1%)]	Loss: 0.140823, Accuracy: 47.00%
Epoch: 1/30 [3150/267680 (1%)]	Loss: 1.134061, Accuracy: 48.00%
Epoch: 1/30 [3200/267680 (1%)]	Loss: 0.273587, Accuracy: 48.00%
Epoch: 1/30 [3250/267680 (1%)]	Loss: 0.012411, Accuracy: 48.00%
Epoch: 1/30 [3300/267680 (1%)]	Loss: 0.885477, Accuracy: 48.00%
Epoch: 1/30 [3350/267680 (1%)]	Loss: 1.479943, Accuracy: 49.00%
Epoch: 1/30 [3400/267680 (1%)]	Loss: 0.014058, Accuracy: 49.00%
Epoch: 1/30 [3450/267680 (1%)]	Loss: 0.834425, Accuracy: 49.00%
Epoch: 1/30 [3500/267680 (1%)]	Loss: 5.344461, Accuracy: 49.00%
Epoch: 1/30 [3550/267680 (1%)]	Loss: 2.693542, Accuracy: 49.00%
Epoch: 1/30 [3600/267680 (1%)]	Loss: 0.526443, Accuracy: 50.00%
Epoch: 1/30 [3650/267680 (1%)]	Loss: 2.937980, Accuracy: 50.00%
Epoch: 1/30 [3700/267680 (1%)]	Loss: 1.175764, Accuracy: 50.00%
Epoch: 1/30 [3750/267680 (1%)]	Loss: 1.947817, Accuracy: 50.00%
Epoch: 1/30 [3800/267680 (1%)]	Loss: 0.898633, Accuracy: 50.00%
Epoch: 1/30 [3850/267680 (1%)]	Loss: 0.054133, Accuracy: 50.00%
Epoch: 1/30 [3900/267680 (1%)]	Loss: 1.843230, Accuracy: 50.00%
Epoch: 1/30 [3950/267680 (1%)]	Loss: 0.142627, Accuracy: 50.00%
Epoch: 1/30 [4000/267680 (1%)]	Loss: 0.929620, Accuracy: 50.00%
Epoch: 1/30 [4050/267680 (2%)]	Loss: 0.033748, Accuracy: 50.00%
Epoch: 1/30 [4100/267680 (2%)]	Loss: 1.189229, Accuracy: 50.00%
Epoch: 1/30 [4150/267680 (2%)]	Loss: 1.265266, Accuracy: 51.00%
Epoch: 1/30 [4200/267680 (2%)]	Loss: 1.483870, Accuracy: 51.00%
Epoch: 1/30 [4250/267680 (2%)]	Loss: 1.113876, Accuracy: 51.00%
Epoch: 1/30 [4300/267680 (2%)]	Loss: 3.113708, Accuracy: 51.00%
Epoch: 1/30 [4350/267680 (2%)]	Loss: 0.583186, Accuracy: 51.00%
Epoch: 1/30 [4400/267680 (2%)]	Loss: 0.058998, Accuracy: 51.00%
Epoch: 1/30 [4450/267680 (2%)]	Loss: 5.366483, Accuracy: 52.00%
Epoch: 1/30 [4500/267680 (2%)]	Loss: 0.358548, Accuracy: 52.00%
Epoch: 1/30 [4550/267680 (2%)]	Loss: 1.846625, Accuracy: 52.00%
Epoch: 1/30 [4600/267680 (2%)]	Loss: 0.671038, Accuracy: 52.00%
Epoch: 1/30 [4650/267680 (2%)]	Loss: 0.438176, Accuracy: 52.00%
Epoch: 1/30 [4700/267680 (2%)]	Loss: 0.298301, Accuracy: 52.00%
Epoch: 1/30 [4750/267680 (2%)]	Loss: 1.670407, Accuracy: 52.00%
Epoch: 1/30 [4800/267680 (2%)]	Loss: 0.100916, Accuracy: 52.00%
Epoch: 1/30 [4850/267680 (2%)]	Loss: 2.175420, Accuracy: 52.00%
Epoch: 1/30 [4900/267680 (2%)]	Loss: 0.094275, Accuracy: 52.00%
Epoch: 1/30 [4950/267680 (2%)]	Loss: 0.091357, Accuracy: 52.00%
Epoch: 1/30 [5000/267680 (2%)]	Loss: 0.328700, Accuracy: 52.00%
Epoch: 1/30 [5050/267680 (2%)]	Loss: 0.062721, Accuracy: 52.00%
Epoch: 1/30 [5100/267680 (2%)]	Loss: 2.982782, Accuracy: 52.00%
Epoch: 1/30 [5150/267680 (2%)]	Loss: 1.780500, Accuracy: 53.00%
Epoch: 1/30 [5200/267680 (2%)]	Loss: 0.929874, Accuracy: 53.00%
Epoch: 1/30 [5250/267680 (2%)]	Loss: 0.002434, Accuracy: 53.00%
Epoch: 1/30 [5300/267680 (2%)]	Loss: 0.002388, Accuracy: 53.00%
Epoch: 1/30 [5350/267680 (2%)]	Loss: 0.004285, Accuracy: 53.00%
Epoch: 1/30 [5400/267680 (2%)]	Loss: 0.319133, Accuracy: 53.00%
Epoch: 1/30 [5450/267680 (2%)]	Loss: 0.039535, Accuracy: 53.00%
Epoch: 1/30 [5500/267680 (2%)]	Loss: 0.008437, Accuracy: 53.00%
Epoch: 1/30 [5550/267680 (2%)]	Loss: 0.308167, Accuracy: 53.00%
Epoch: 1/30 [5600/267680 (2%)]	Loss: 0.058525, Accuracy: 54.00%
Epoch: 1/30 [5650/267680 (2%)]	Loss: 0.386292, Accuracy: 54.00%
Epoch: 1/30 [5700/267680 (2%)]	Loss: 0.374648, Accuracy: 54.00%
Epoch: 1/30 [5750/267680 (2%)]	Loss: 1.733353, Accuracy: 54.00%
Epoch: 1/30 [5800/267680 (2%)]	Loss: 0.494224, Accuracy: 54.00%
Epoch: 1/30 [5850/267680 (2%)]	Loss: 0.005732, Accuracy: 54.00%
Epoch: 1/30 [5900/267680 (2%)]	Loss: 0.629381, Accuracy: 54.00%
Epoch: 1/30 [5950/267680 (2%)]	Loss: 0.267375, Accuracy: 54.00%
Epoch: 1/30 [6000/267680 (2%)]	Loss: 0.596221, Accuracy: 55.00%
Epoch: 1/30 [6050/267680 (2%)]	Loss: 0.258183, Accuracy: 55.00%
Epoch: 1/30 [6100/267680 (2%)]	Loss: 0.004659, Accuracy: 55.00%
Epoch: 1/30 [6150/267680 (2%)]	Loss: 0.090422, Accuracy: 55.00%
Epoch: 1/30 [6200/267680 (2%)]	Loss: 0.066968, Accuracy: 55.00%
Epoch: 1/30 [6250/267680 (2%)]	Loss: 0.461044, Accuracy: 55.00%
Epoch: 1/30 [6300/267680 (2%)]	Loss: 1.142432, Accuracy: 55.00%
Epoch: 1/30 [6350/267680 (2%)]	Loss: 1.510493, Accuracy: 55.00%
Epoch: 1/30 [6400/267680 (2%)]	Loss: 0.642231, Accuracy: 55.00%
Epoch: 1/30 [6450/267680 (2%)]	Loss: 1.251412, Accuracy: 56.00%
Epoch: 1/30 [6500/267680 (2%)]	Loss: 2.348507, Accuracy: 56.00%
Epoch: 1/30 [6550/267680 (2%)]	Loss: 0.001064, Accuracy: 56.00%
Epoch: 1/30 [6600/267680 (2%)]	Loss: 0.073070, Accuracy: 56.00%
Epoch: 1/30 [6650/267680 (2%)]	Loss: 1.790428, Accuracy: 56.00%
Epoch: 1/30 [6700/267680 (3%)]	Loss: 1.472906, Accuracy: 56.00%
Epoch: 1/30 [6750/267680 (3%)]	Loss: 0.001641, Accuracy: 56.00%
Epoch: 1/30 [6800/267680 (3%)]	Loss: 0.492400, Accuracy: 56.00%
Epoch: 1/30 [6850/267680 (3%)]	Loss: 0.740135, Accuracy: 56.00%
Epoch: 1/30 [6900/267680 (3%)]	Loss: 3.693667, Accuracy: 56.00%
Epoch: 1/30 [6950/267680 (3%)]	Loss: 0.000389, Accuracy: 57.00%
Epoch: 1/30 [7000/267680 (3%)]	Loss: 3.530432, Accuracy: 57.00%
Epoch: 1/30 [7050/267680 (3%)]	Loss: 0.578325, Accuracy: 57.00%
Epoch: 1/30 [7100/267680 (3%)]	Loss: 3.934956, Accuracy: 57.00%
Epoch: 1/30 [7150/267680 (3%)]	Loss: 0.035487, Accuracy: 57.00%
Epoch: 1/30 [7200/267680 (3%)]	Loss: 0.103074, Accuracy: 57.00%
Epoch: 1/30 [7250/267680 (3%)]	Loss: 0.001812, Accuracy: 57.00%
Epoch: 1/30 [7300/267680 (3%)]	Loss: 0.653757, Accuracy: 57.00%
Epoch: 1/30 [7350/267680 (3%)]	Loss: 0.053921, Accuracy: 57.00%
Epoch: 1/30 [7400/267680 (3%)]	Loss: 0.000072, Accuracy: 57.00%
Epoch: 1/30 [7450/267680 (3%)]	Loss: 0.014814, Accuracy: 57.00%
Epoch: 1/30 [7500/267680 (3%)]	Loss: 0.878722, Accuracy: 57.00%
Epoch: 1/30 [7550/267680 (3%)]	Loss: 0.180253, Accuracy: 57.00%
Epoch: 1/30 [7600/267680 (3%)]	Loss: 0.018773, Accuracy: 57.00%
Epoch: 1/30 [7650/267680 (3%)]	Loss: 0.634926, Accuracy: 57.00%
Epoch: 1/30 [7700/267680 (3%)]	Loss: 0.705549, Accuracy: 57.00%
Epoch: 1/30 [7750/267680 (3%)]	Loss: 0.759298, Accuracy: 57.00%
Epoch: 1/30 [7800/267680 (3%)]	Loss: 0.004990, Accuracy: 57.00%
Epoch: 1/30 [7850/267680 (3%)]	Loss: 0.277545, Accuracy: 57.00%
Epoch: 1/30 [7900/267680 (3%)]	Loss: 1.838656, Accuracy: 57.00%
Epoch: 1/30 [7950/267680 (3%)]	Loss: 1.600635, Accuracy: 57.00%
Epoch: 1/30 [8000/267680 (3%)]	Loss: 0.001423, Accuracy: 58.00%
Epoch: 1/30 [8050/267680 (3%)]	Loss: 0.029111, Accuracy: 58.00%
Epoch: 1/30 [8100/267680 (3%)]	Loss: 0.694654, Accuracy: 58.00%
Epoch: 1/30 [8150/267680 (3%)]	Loss: 1.217801, Accuracy: 58.00%
Epoch: 1/30 [8200/267680 (3%)]	Loss: 0.059540, Accuracy: 58.00%
Epoch: 1/30 [8250/267680 (3%)]	Loss: 0.017476, Accuracy: 58.00%
Epoch: 1/30 [8300/267680 (3%)]	Loss: 0.001830, Accuracy: 58.00%
Epoch: 1/30 [8350/267680 (3%)]	Loss: 0.362821, Accuracy: 58.00%
Epoch: 1/30 [8400/267680 (3%)]	Loss: 0.329668, Accuracy: 58.00%
Epoch: 1/30 [8450/267680 (3%)]	Loss: 0.858985, Accuracy: 58.00%
Epoch: 1/30 [8500/267680 (3%)]	Loss: 0.825261, Accuracy: 58.00%
Epoch: 1/30 [8550/267680 (3%)]	Loss: 0.206812, Accuracy: 58.00%
Epoch: 1/30 [8600/267680 (3%)]	Loss: 0.002847, Accuracy: 58.00%
Epoch: 1/30 [8650/267680 (3%)]	Loss: 0.023432, Accuracy: 58.00%
Epoch: 1/30 [8700/267680 (3%)]	Loss: 0.245073, Accuracy: 58.00%
Epoch: 1/30 [8750/267680 (3%)]	Loss: 0.145975, Accuracy: 58.00%
Epoch: 1/30 [8800/267680 (3%)]	Loss: 1.568082, Accuracy: 58.00%
Epoch: 1/30 [8850/267680 (3%)]	Loss: 0.156808, Accuracy: 58.00%
Epoch: 1/30 [8900/267680 (3%)]	Loss: 1.271558, Accuracy: 58.00%
Epoch: 1/30 [8950/267680 (3%)]	Loss: 0.023130, Accuracy: 58.00%
Epoch: 1/30 [9000/267680 (3%)]	Loss: 0.767221, Accuracy: 59.00%
Epoch: 1/30 [9050/267680 (3%)]	Loss: 1.291755, Accuracy: 59.00%
Epoch: 1/30 [9100/267680 (3%)]	Loss: 3.940005, Accuracy: 59.00%
Epoch: 1/30 [9150/267680 (3%)]	Loss: 0.227136, Accuracy: 59.00%
Epoch: 1/30 [9200/267680 (3%)]	Loss: 0.050682, Accuracy: 59.00%
Epoch: 1/30 [9250/267680 (3%)]	Loss: 2.060125, Accuracy: 59.00%
Epoch: 1/30 [9300/267680 (3%)]	Loss: 2.382406, Accuracy: 59.00%
Epoch: 1/30 [9350/267680 (3%)]	Loss: 0.298872, Accuracy: 59.00%
Epoch: 1/30 [9400/267680 (4%)]	Loss: 0.373279, Accuracy: 59.00%
Epoch: 1/30 [9450/267680 (4%)]	Loss: 0.342105, Accuracy: 59.00%
Epoch: 1/30 [9500/267680 (4%)]	Loss: 0.003180, Accuracy: 59.00%
Epoch: 1/30 [9550/267680 (4%)]	Loss: 0.436110, Accuracy: 59.00%
Epoch: 1/30 [9600/267680 (4%)]	Loss: 3.880990, Accuracy: 59.00%
Epoch: 1/30 [9650/267680 (4%)]	Loss: 0.011354, Accuracy: 59.00%
Epoch: 1/30 [9700/267680 (4%)]	Loss: 2.105588, Accuracy: 59.00%
Epoch: 1/30 [9750/267680 (4%)]	Loss: 0.145704, Accuracy: 59.00%
Epoch: 1/30 [9800/267680 (4%)]	Loss: 3.371439, Accuracy: 59.00%
Epoch: 1/30 [9850/267680 (4%)]	Loss: 0.153571, Accuracy: 59.00%
Epoch: 1/30 [9900/267680 (4%)]	Loss: 0.918725, Accuracy: 59.00%
Epoch: 1/30 [9950/267680 (4%)]	Loss: 0.135128, Accuracy: 59.00%
Epoch: 1/30 [10000/267680 (4%)]	Loss: 0.007464, Accuracy: 60.00%
Epoch: 1/30 [10050/267680 (4%)]	Loss: 0.739907, Accuracy: 60.00%
Epoch: 1/30 [10100/267680 (4%)]	Loss: 0.881346, Accuracy: 60.00%
Epoch: 1/30 [10150/267680 (4%)]	Loss: 0.753681, Accuracy: 60.00%
Epoch: 1/30 [10200/267680 (4%)]	Loss: 0.007291, Accuracy: 60.00%
Epoch: 1/30 [10250/267680 (4%)]	Loss: 0.182024, Accuracy: 60.00%
Epoch: 1/30 [10300/267680 (4%)]	Loss: 0.014338, Accuracy: 60.00%
